id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
ZMYND8	5	0.0013202	0.0056934	0.358966	44	4	-0.37324	0.7626	0.81557	0.999998	2095	1	-0.37324
CSNK2B	5	0.0013241	0.0057039	0.358966	45	3	-0.42778	0.19398	0.36962	0.999998	836	2	-0.42778
FOLR3_P2	5	0.0014298	0.0061759	0.38022	46	3	-0.16988	0.35685	0.54693	0.999998	1243	2	-0.16988
MGST2	5	0.0016625	0.0071828	0.4328	47	5	-0.19942	0.99834	0.99828	0.999998	2814	0	-0.19942
ADH1C	5	0.0017227	0.0073995	0.436572	48	4	-0.17316	0.91922	0.91943	0.999998	2486	0	-0.17316
PRKAR2A	5	0.0018103	0.0077491	0.447868	49	3	-0.22236	0.39525	0.57523	0.999998	1325	2	-0.22236
POMC	5	0.0019173	0.0081162	0.448253	50	3	-0.26785	0.52656	0.67743	0.999998	1613	1	-0.26785
EPOR_P2	5	0.001944	0.0082561	0.448253	51	5	-0.32121	0.99806	0.99798	0.999998	2813	0	-0.32121
ZC3HC1	5	0.0019747	0.0083889	0.448253	52	4	-0.16806	0.62807	0.76051	0.999998	1885	1	-0.16806
MMP27	5	0.0020531	0.0087315	0.449279	53	5	-0.33108	0.99795	0.99787	0.999998	2812	0	-0.33108
NPR3	5	0.0021115	0.0089168	0.449279	54	5	-0.17846	0.99536	0.9953	0.999998	2799	0	-0.17846
PPP1R3G	5	0.0021243	0.0089413	0.449279	55	5	-0.16375	0.99407	0.99408	0.999998	2794	0	-0.16375
IDH3B	5	0.0021461	0.0090427	0.449279	56	4	-0.080378	0.89415	0.89534	0.999998	2385	1	-0.080378
GGCX	5	0.0021882	0.009207	0.449556	57	5	-0.30869	0.99748	0.99748	0.999998	2810	0	-0.30869
CHRM5	5	0.0023471	0.0098328	0.471975	58	3	-0.084236	0.93189	0.93194	0.999998	2537	0	-0.084236
AMY2A	5	0.0025599	0.010724	0.492961	59	4	-0.16008	0.81798	0.84321	0.999998	2199	1	-0.16008
SLC12A6_P2	5	0.0025655	0.010742	0.492961	60	5	-0.14436	0.99743	0.99744	0.999998	2809	0	-0.14436
RET_P2	5	0.0026211	0.010945	0.492961	61	4	-0.4341	0.88948	0.89135	0.999998	2372	1	-0.4341
SCN2B	5	0.0026387	0.011015	0.492961	62	3	-0.26929	0.58011	0.72103	0.999998	1738	2	-0.26929
PLK2_P2	5	0.0026787	0.01114	0.492961	63	5	-0.22867	0.99368	0.99366	0.999998	2790	0	-0.22867
ERBB4	5	0.0028222	0.011805	0.502726	64	5	-0.17777	0.99718	0.99712	0.999998	2808	0	-0.17777
PFKFB2	5	0.0028293	0.011822	0.502726	65	5	-0.31576	0.99717	0.99712	0.999998	2807	0	-0.31576
GALK1	5	0.0028749	0.011979	0.502726	66	3	-0.18866	0.49593	0.65348	0.999998	1552	2	-0.18866
FCGR3A	5	0.0029021	0.012098	0.502726	67	5	-0.28905	0.99672	0.99668	0.999998	2804	0	-0.28905
CLC	5	0.0029412	0.012249	0.502726	68	4	-0.37169	0.56179	0.70567	0.999998	1691	1	-0.37169
CYP3A5	5	0.0031562	0.013182	0.524818	69	5	-0.2217	0.99684	0.9968	0.999998	2806	0	-0.2217
KCND3	5	0.0031958	0.013353	0.524818	70	5	-0.30408	0.99676	0.99673	0.999998	2805	0	-0.30408
MARK4	5	0.0032617	0.013609	0.524818	71	3	-0.17629	0.90955	0.90975	0.999998	2445	1	-0.17629
CDK11A	5	0.0032849	0.013707	0.524818	72	5	-0.26912	0.99672	0.99668	0.999998	2803	0	-0.26912
LIMK1_P2	5	0.0033181	0.013815	0.524818	73	2	0.1245	0.11444	0.25726	0.999998	608	3	0.1245
FER_P2	5	0.0033468	0.013934	0.524818	74	3	-0.20736	0.67246	0.77974	0.999998	1948	1	-0.20736
ERBB3	5	0.0033851	0.014084	0.524818	75	5	-0.20853	0.99661	0.99656	0.999998	2802	0	-0.20853
IFNGR2	5	0.0034678	0.014469	0.532146	76	4	-0.31602	0.98312	0.98343	0.999998	2738	0	-0.31602
SGK223	5	0.003621	0.015115	0.542683	77	2	0.069672	0.27516	0.4773	0.999998	1086	3	0.069672
NADK_P1	5	0.0036449	0.015231	0.542683	78	3	-0.067033	0.80957	0.83863	0.999998	2182	1	-0.067033
MYLK4	5	0.003673	0.015336	0.542683	79	5	-0.2117	0.99412	0.99413	0.999998	2795	0	-0.2117
PIP4K2A	5	0.0037343	0.015573	0.542683	80	3	-0.31283	0.55895	0.70327	0.999998	1685	2	-0.31283
CHRNA2	5	0.0037753	0.015713	0.542683	81	4	-0.24743	0.83637	0.8537	0.999998	2240	1	-0.24743
PTPN22	5	0.0038876	0.016241	0.554157	82	4	-0.2258	0.52677	0.67763	0.999998	1614	1	-0.2258
FARSB	5	0.0040279	0.016776	0.564997	83	3	-0.27541	0.37262	0.5584	0.999998	1274	2	-0.27541
SNAP25	5	0.0040843	0.016958	0.564997	84	3	-0.098076	0.58833	0.72761	0.999998	1768	1	-0.098076
FTL	5	0.0042633	0.017654	0.574752	85	4	-0.23259	0.8066	0.83711	0.999998	2177	1	-0.23259
EIF2AK3	5	0.0042929	0.017779	0.574752	86	5	-0.23075	0.99571	0.99565	0.999998	2801	0	-0.23075
CDKL3_P2	5	0.0043225	0.017912	0.574752	87	5	-0.13316	0.99568	0.99563	0.999998	2800	0	-0.13316
MTHFD2_P1	5	0.0044183	0.018262	0.574752	88	4	-0.21779	0.98149	0.98185	0.999998	2731	0	-0.21779
TF_P2	5	0.0044194	0.018265	0.574752	89	4	-0.22787	0.8997	0.90026	0.999998	2409	1	-0.22787
TUBB1	5	0.0047937	0.019762	0.606752	90	4	-0.16692	0.94582	0.94592	0.999998	2591	0	-0.16692
NLK	5	0.0048634	0.020038	0.606752	91	4	-0.34803	0.40043	0.57915	0.999998	1337	1	-0.34803
CSF2RB	5	0.0049555	0.020471	0.609319	92	3	-0.28287	0.56654	0.70967	0.999998	1708	2	-0.28287
ALPPL2	5	0.0050588	0.02087	0.609319	93	5	-0.19512	0.99494	0.99493	0.999998	2798	0	-0.19512
CKM_P2	5	0.00538	0.022115	0.637014	94	5	-0.17807	0.99462	0.99463	0.999998	2797	0	-0.17807
PLCL1	5	0.0054265	0.022268	0.637014	95	3	-0.25731	0.37225	0.55812	0.999998	1273	2	-0.25731
GUSB	5	0.0055589	0.022835	0.640869	96	1	0.07652	0.18779	0.36118	0.999998	818	2	0.07652
GLP2R	5	0.0055637	0.022856	0.640869	97	4	-0.24651	0.98632	0.98653	0.999998	2759	0	-0.24651
ARF6_P2	5	0.0057901	0.023877	0.657358	98	4	-0.1917	0.43992	0.6093	0.999998	1425	1	-0.1917
DDR2	5	0.0058042	0.023908	0.657358	99	5	-0.21614	0.9942	0.99421	0.999998	2796	0	-0.21614
PTH	5	0.0059414	0.024429	0.665223	100	4	-0.081697	0.96474	0.96516	0.999998	2667	0	-0.081697
IRGC	5	0.0060133	0.024723	0.666808	101	5	-0.18613	0.99399	0.99397	0.999998	2793	0	-0.18613
NISCH	5	0.0062122	0.025548	0.678722	102	4	-0.18947	0.85586	0.86626	0.999998	2288	1	-0.18947
HAL	5	0.0062349	0.025649	0.678722	103	5	-0.13319	0.99377	0.99374	0.999998	2792	0	-0.13319
INPP5E	5	0.006308	0.025883	0.678722	104	5	-0.27129	0.99369	0.99367	0.999998	2791	0	-0.27129
MAP4K3	5	0.0064866	0.026586	0.68241	105	4	-0.19482	0.9293	0.92941	0.999998	2520	0	-0.19482
PPM1F	5	0.0065023	0.026635	0.68241	106	4	-0.2889	0.53328	0.68288	0.999998	1630	1	-0.2889
MAP4K4	5	0.0065325	0.026747	0.68241	107	3	-0.32187	0.76827	0.81811	0.999998	2102	1	-0.32187
MMP26_ENST00000380390.1	5	0.0069026	0.02824	0.691146	108	4	-0.17148	0.98598	0.98619	0.999998	2757	0	-0.17148
PPFIA2_ENST00000549396.1	5	0.0069078	0.02825	0.691146	109	5	-0.36339	0.99246	0.99249	0.999998	2785	0	-0.36339
ROS1	5	0.0069516	0.028429	0.691146	110	3	-0.25655	0.85232	0.86393	0.999998	2278	1	-0.25655
CPD	5	0.0069985	0.028607	0.691146	111	4	-0.1713	0.6939	0.78747	0.999998	1989	1	-0.1713
NR1I2	5	0.0070504	0.028796	0.691146	112	4	-0.45656	0.91746	0.91768	0.999998	2474	0	-0.45656
NRBP2	5	0.0070774	0.028883	0.691146	113	5	-0.15867	0.99292	0.99288	0.999998	2789	0	-0.15867
LPPR2	5	0.0071333	0.029061	0.691146	114	3	-0.22855	0.37394	0.55935	0.999998	1277	2	-0.22855
PMP2	5	0.007225	0.029467	0.691146	115	5	-0.12955	0.99278	0.99275	0.999998	2788	0	-0.12955
PPP1R3A	5	0.0072399	0.02953	0.691146	116	5	-0.19065	0.99276	0.99275	0.999998	2787	0	-0.19065
STK25	5	0.0074155	0.030229	0.698744	117	5	-0.381	0.99152	0.9916	0.999998	2782	0	-0.381
STK39	5	0.0074586	0.030348	0.698744	118	5	-0.26839	0.99254	0.99254	0.999998	2786	0	-0.26839
GABRA3	5	0.0077774	0.031449	0.712125	119	4	-0.38879	0.87986	0.88339	0.999998	2354	1	-0.38879
CTDNEP1	5	0.0078192	0.031607	0.712125	120	4	-0.27498	0.98334	0.98363	0.999998	2742	0	-0.27498
CRB2_P2	5	0.0078369	0.031684	0.712125	121	3	-0.2442	0.52932	0.67966	0.999998	1618	2	-0.2442
MYO1D	5	0.0080166	0.032386	0.719383	122	5	-0.15269	0.99198	0.99203	0.999998	2784	0	-0.15269
RIOK1	5	0.0081018	0.032697	0.719383	123	4	-0.40209	0.11374	0.25628	0.999998	605	1	-0.40209
HSD17B11	5	0.0081844	0.033023	0.719383	124	4	-0.24129	0.82352	0.84627	0.999998	2209	1	-0.24129
TF_P1	5	0.0082704	0.033365	0.721298	125	5	-0.24701	0.99173	0.99179	0.999998	2783	0	-0.24701
non-targeting_00092	1	0.0086452	0.008361	0.448253	126	1	-0.5372	0.99135	0.99153	0.999998	2781	0	-0.5372
CDKN2D	5	0.0087329	0.035096	0.750428	127	4	-0.32462	0.65511	0.77361	0.999998	1922	1	-0.32462
AADACL2	5	0.0087828	0.035243	0.750428	128	4	-0.24586	0.98297	0.98329	0.999998	2736	0	-0.24586
PTPRK_P1	5	0.0090351	0.036228	0.762267	129	5	-0.21658	0.99096	0.99106	0.999998	2780	0	-0.21658
HPRT1	5	0.0090976	0.036456	0.762267	130	5	-0.30088	0.9909	0.99102	0.999998	2779	0	-0.30088
LALBA_ENST00000301046.2	5	0.0091356	0.036606	0.762267	131	3	-0.1796	0.75979	0.81427	0.999998	2089	1	-0.1796
SIK2	5	0.0092145	0.036886	0.762485	132	5	-0.095784	0.99079	0.99095	0.999998	2778	0	-0.095784
OPRD1	5	0.0093783	0.037505	0.769658	133	2	0.068165	0.21372	0.39649	0.999998	888	3	0.068165
CSNK2A2	5	0.0096473	0.038361	0.771894	134	5	-0.19053	0.99035	0.99055	0.999998	2777	0	-0.19053
FCER1G	5	0.0096755	0.038473	0.771894	135	5	-0.10821	0.99032	0.99052	0.999998	2776	0	-0.10821
MARK3_P2	5	0.0097492	0.0387	0.771894	136	4	-0.18022	0.96243	0.96291	0.999998	2659	0	-0.18022
GLYATL1_P1	5	0.0097511	0.038704	0.771894	137	4	-0.21984	0.89164	0.89327	0.999998	2375	1	-0.21984
DGKZ	5	0.0098554	0.039127	0.774874	138	5	-0.31926	0.99014	0.99038	0.999998	2775	0	-0.31926
PTPN14	5	0.0099435	0.039445	0.775749	139	4	-0.36326	0.28266	0.48694	0.999998	1106	1	-0.36326
NDUFC1_P2	5	0.010489	0.04134	0.795056	140	4	-0.22729	0.78829	0.8276	0.999998	2142	1	-0.22729
GLUD2	5	0.010522	0.041424	0.795056	141	3	-0.21275	0.57144	0.71378	0.999998	1719	1	-0.21275
NDUFB3	5	0.010543	0.041483	0.795056	142	4	-0.18991	0.45593	0.62208	0.999998	1454	1	-0.18991
PTPRD_ENST00000381196.4	5	0.010562	0.04155	0.795056	143	2	-0.040387	0.58172	0.7223	0.999998	1746	2	-0.040387
PIK3CG	5	0.010873	0.042371	0.796112	144	4	-0.20134	0.61679	0.75111	0.999998	1850	1	-0.20134
GABRR1	5	0.010901	0.042445	0.796112	145	4	-0.17506	0.80978	0.83873	0.999998	2183	1	-0.17506
SGK3_ENST00000345714.4	5	0.010903	0.042448	0.796112	146	4	-0.16496	0.92403	0.92404	0.999998	2497	0	-0.16496
KCNMB1	5	0.011212	0.043343	0.801636	147	3	-0.36613	0.93519	0.93525	0.999998	2550	0	-0.36613
S100A12_P2	5	0.011417	0.043878	0.801636	148	3	-0.18565	0.97508	0.9755	0.999998	2708	0	-0.18565
HTR1F_ENST00000319595.4	5	0.011425	0.043927	0.801636	149	4	-0.19289	0.97379	0.97428	0.999998	2703	0	-0.19289
PTPRA	5	0.011569	0.044346	0.801636	150	3	-0.31757	0.67747	0.78149	0.999998	1962	1	-0.31757
ACP2	5	0.011584	0.044401	0.801636	151	4	-0.24114	0.75634	0.81258	0.999998	2082	1	-0.24114
FCGR3B	5	0.011664	0.044605	0.801636	152	4	-0.20901	0.71799	0.7966	0.999998	2026	1	-0.20901
DGKG	5	0.011709	0.044724	0.801636	153	2	0.0052009	0.25407	0.44994	0.999998	1010	2	0.0052009
CANX_P2	5	0.012045	0.045738	0.811618	154	3	-0.081734	0.72161	0.79802	0.999998	2030	1	-0.081734
KCNA4	5	0.012116	0.045913	0.811618	155	4	-0.19015	0.97989	0.98033	0.999998	2721	0	-0.19015
DUSP19	5	0.012374	0.046612	0.811618	156	4	-0.26521	0.97042	0.97098	0.999998	2687	0	-0.26521
PIPOX	5	0.012697	0.04751	0.811618	157	4	-0.24791	0.73195	0.80212	0.999998	2041	1	-0.24791
PHKA2	5	0.012802	0.047853	0.811618	158	3	-0.29416	0.46268	0.62715	0.999998	1471	2	-0.29416
MMP20_ENST00000260228.2	5	0.012806	0.047871	0.811618	159	1	0.012915	0.75893	0.81383	0.999998	2086	1	0.012915
HTR7	5	0.0129	0.048098	0.811618	160	4	-0.26094	0.92398	0.924	0.999998	2496	0	-0.26094
GABRG3	5	0.012961	0.048262	0.811618	161	2	-0.061689	0.032797	0.09904	0.8083	340	2	-0.061689
EPX	5	0.013012	0.048412	0.811618	162	3	-0.55684	0.48073	0.64129	0.999998	1509	2	-0.55684
SLC25A2	5	0.013019	0.048433	0.811618	163	4	-0.26843	0.46391	0.62812	0.999998	1475	1	-0.26843
HBA1_P1	5	0.013186	0.048863	0.814007	164	1	0.07149	0.24521	0.43817	0.999998	987	3	0.07149
NOXO1	5	0.013946	0.050825	0.840634	165	2	-0.041928	0.4928	0.65096	0.999998	1542	2	-0.041928
GABRB3	5	0.014058	0.051055	0.840634	166	3	-0.24135	0.50481	0.66033	0.999998	1569	2	-0.24135
SLC29A1_P2	5	0.014215	0.051468	0.842528	167	3	-0.21866	0.85578	0.86623	0.999998	2287	1	-0.21866
HNMT	5	0.014654	0.05266	0.848045	168	3	-0.2606	0.92206	0.92213	0.999998	2491	0	-0.2606
NQO2	5	0.014732	0.052887	0.848045	169	3	-0.26466	0.20394	0.38326	0.999998	866	2	-0.26466
NME7	5	0.014764	0.053003	0.848045	170	4	-0.18634	0.95924	0.9595	0.999998	2646	0	-0.18634
KCNQ2	5	0.015325	0.054457	0.857896	171	4	-0.18077	0.71194	0.79428	0.999998	2016	1	-0.18077
SIGLEC7	5	0.015465	0.05488	0.857896	172	3	-0.16026	0.83069	0.85042	0.999998	2225	1	-0.16026
ESRRG_ENST00000359162.2	5	0.015576	0.05517	0.857896	173	4	0.0	0.97151	0.97204	0.999998	2694	0	0.0
ENST00000361525.3	5	0.015576	0.05517	0.857896	174	4	0.0	0.97151	0.97204	0.999998	2695	0	0.0
SERPINB6	5	0.015666	0.055436	0.857896	175	4	-0.24862	0.59097	0.72981	0.999998	1775	1	-0.24862
BAG1	5	0.015844	0.055898	0.859885	176	1	0.020329	0.18151	0.35292	0.999998	798	2	0.020329
AHCY	5	0.016049	0.056419	0.859885	177	3	-0.20833	0.36642	0.55405	0.999998	1261	2	-0.20833
TSSK3	5	0.016159	0.05674	0.859885	178	3	-0.39745	0.11433	0.25712	0.999998	607	2	-0.39745
SKP2	5	0.016224	0.056957	0.859885	179	4	-0.18714	0.91005	0.91026	0.999998	2449	1	-0.18714
MAPK7	5	0.01627	0.057083	0.859885	180	4	-0.29268	0.96615	0.96665	0.999998	2674	0	-0.29268
DUSP27	5	0.016549	0.057789	0.861361	181	4	-0.14191	0.95244	0.95262	0.999998	2622	0	-0.14191
ROR1	5	0.016663	0.058083	0.861361	182	4	-0.25953	0.78539	0.8262	0.999998	2136	1	-0.25953
ENPP2	5	0.016946	0.058866	0.861361	183	3	-0.25728	0.782	0.82457	0.999998	2128	1	-0.25728
CYP2C9	5	0.016965	0.058904	0.861361	184	4	-0.14173	0.83473	0.85268	0.999998	2238	1	-0.14173
TRPA1	5	0.016975	0.058929	0.861361	185	3	-0.23688	0.73288	0.80252	0.999998	2044	1	-0.23688
FCER1A	5	0.017005	0.059006	0.861361	186	3	-0.09558	0.89674	0.89764	0.999998	2393	1	-0.09558
PPP1R12C	5	0.01735	0.059894	0.865604	187	4	-0.17695	0.94762	0.94773	0.999998	2597	0	-0.17695
LGSN	5	0.017361	0.059908	0.865604	188	3	-0.045637	0.9121	0.91236	0.999998	2457	0	-0.045637
NRK	5	0.017584	0.060436	0.868799	189	4	-0.15074	0.98392	0.98416	0.999998	2747	0	-0.15074
RTCA	5	0.017885	0.061142	0.873111	190	4	-0.2158	0.98581	0.98604	0.999998	2756	0	-0.2158
MMP19	5	0.018118	0.061764	0.873111	191	3	-0.25822	0.92491	0.92489	0.999998	2499	0	-0.25822
LMTK3	5	0.018123	0.061796	0.873111	192	3	-0.20975	0.5235	0.67519	0.999998	1609	2	-0.20975
INPP4B_P1	5	0.01836	0.062418	0.873111	193	4	-0.16054	0.81191	0.83988	0.999998	2188	1	-0.16054
LTK	5	0.018543	0.063002	0.873111	194	3	-0.12141	0.77626	0.82167	0.999998	2119	1	-0.12141
MARK3_P1	5	0.018624	0.063218	0.873111	195	4	-0.19114	0.5364	0.68552	0.999998	1640	1	-0.19114
LIPJ	5	0.018808	0.063673	0.873111	196	4	-0.12576	0.98842	0.98866	0.999998	2768	0	-0.12576
UGT1A9	5	0.018892	0.06389	0.873111	197	3	-0.32344	0.94331	0.94349	0.999998	2580	0	-0.32344
TK2	5	0.018973	0.064082	0.873111	198	4	-0.27363	0.87079	0.87654	0.999998	2325	1	-0.27363
RNGTT	5	0.018984	0.06411	0.873111	199	4	-0.98079	0.41858	0.59322	0.999998	1377	1	-0.98079
ENPP1	5	0.019076	0.064355	0.873111	200	3	-0.21809	0.77005	0.81892	0.999998	2103	1	-0.21809
MST1R	5	0.019106	0.064435	0.873111	201	4	-0.25005	0.81828	0.84333	0.999998	2200	1	-0.25005
GSTA2	5	0.019632	0.065869	0.87374	202	4	-0.12113	0.98342	0.98372	0.999998	2743	0	-0.12113
non-targeting_00077	1	0.019634	0.019755	0.606752	203	1	-0.36903	0.98037	0.98014	0.999998	2726	0	-0.36903
PHYH	5	0.01983	0.0664	0.87374	204	2	0.15949	0.21905	0.40365	0.999998	908	3	0.15949
NPR2	5	0.019877	0.066522	0.87374	205	4	-0.19	0.57241	0.71453	0.999998	1721	1	-0.19
EPHA2	5	0.019954	0.066694	0.87374	206	3	-0.25593	0.82619	0.84775	0.999998	2213	1	-0.25593
PON1	5	0.02001	0.066844	0.87374	207	3	-0.11711	0.41802	0.5928	0.999998	1376	2	-0.11711
non-targeting_00074	1	0.020018	0.020139	0.606752	208	1	-0.42232	0.97998	0.9798	0.999998	2722	0	-0.42232
HRH4	5	0.02004	0.066924	0.87374	209	3	-0.19522	0.87004	0.87604	0.999998	2322	1	-0.19522
ACPP	5	0.020141	0.06719	0.87374	210	3	-0.070798	0.97085	0.97145	0.999998	2690	0	-0.070798
ROR2	5	0.020167	0.067249	0.87374	211	3	-0.22309	0.11904	0.26416	0.999998	621	2	-0.22309
SLCO2B1	5	0.020264	0.067515	0.87374	212	4	-0.22797	0.68287	0.78345	0.999998	1970	1	-0.22797
FGFR3	5	0.020372	0.067875	0.87374	213	4	-0.2263	0.93655	0.93672	0.999998	2554	0	-0.2263
non-targeting_00159	1	0.020556	0.020657	0.609319	214	1	-0.3773	0.97944	0.97926	0.999998	2719	0	-0.3773
S100A1_P2	5	0.021026	0.069539	0.880643	215	3	-0.20685	0.051727	0.14504	0.947411	420	2	-0.20685
RIOK2	5	0.021144	0.069879	0.880643	216	4	-0.59177	0.17049	0.33743	0.999998	760	1	-0.59177
DGUOK	5	0.021367	0.070417	0.880643	217	4	-0.1817	0.91	0.91018	0.999998	2448	1	-0.1817
IBTK_P2	5	0.021393	0.07049	0.880643	218	3	-0.29618	0.98293	0.98327	0.999998	2735	0	-0.29618
MAPK6	5	0.021435	0.070588	0.880643	219	4	-0.19064	0.96968	0.97022	0.999998	2685	0	-0.19064
SBF1	5	0.02232	0.072962	0.893205	220	4	-0.18182	0.97933	0.97974	0.999998	2718	0	-0.18182
CRYZ	5	0.022781	0.074109	0.893205	221	4	-0.22412	0.93777	0.93795	0.999998	2559	0	-0.22412
NMRAL1	5	0.0228	0.074137	0.893205	222	3	-0.28986	0.94454	0.94465	0.999998	2584	0	-0.28986
FXYD2_P1	5	0.023031	0.074735	0.893205	223	1	-0.028141	0.8112	0.83949	0.999998	2186	1	-0.028141
TAOK3_P1	5	0.023179	0.07513	0.893205	224	2	0.0096793	0.040628	0.11844	0.854865	382	2	0.0096793
PANK4	5	0.023339	0.075553	0.893205	225	4	-0.14476	0.9287	0.92877	0.999998	2515	0	-0.14476
SLC18A1	5	0.023379	0.075696	0.893205	226	3	-0.078867	0.75683	0.81281	0.999998	2083	1	-0.078867
ALDH18A1	5	0.023408	0.075769	0.893205	227	2	0.059503	0.24425	0.43686	0.999998	982	2	0.059503
CHRNE	5	0.023489	0.076011	0.893205	228	3	-0.23864	0.74015	0.80562	0.999998	2055	1	-0.23864
